,Topic_number,query_0,query_1,query_2,query_3,query_4,query_5,query_6,query_7,query_8,query_9,query_10,query_11,query_12,query_13,query_14,query_15,query_16,query_17,query_18,query_19,query_20,query_21,query_22,query_23,query_24,query_25,query_26,query_27,query_28,query_29,query_30,query_31,query_32,query_33,query_34,query_35,query_36,query_37,query_38,query_39,query_40,query_41,query_42,query_43,query_44,query_45,query_46,query_47,query_48,query_49,query_50,query_51,query_52,query_53,query_54,query_55,query_56,query_57,query_58,query_59,query_60,query_61,query_62,query_63,query_64,query_65,query_66,query_67,query_68,query_69,query_70,query_71,query_72,query_73,query_74,query_75,query_76,query_77,query_78,query_79,query_80,query_81,query_82,query_83,query_84,query_85,query_86,query_87,query_88,query_89,query_90,query_91,query_92,query_93,query_94,query_95,query_96,query_97,query_98,query_99
10,37,0.78,0.86,0.8400000000000001,0.86,0.72,0.8400000000000001,0.6199999999999999,0.62,0.72,0.86,0.8400000000000001,0.9800000000000001,0.78,0.76,0.7,0.76,0.58,0.5599999999999999,0.6799999999999999,0.8399999999999999,0.78,0.62,0.64,0.7,0.76,0.86,0.7,0.5399999999999999,0.7,0.8399999999999999,0.9,0.8400000000000001,0.86,0.82,0.82,0.64,0.86,0.76,0.6799999999999999,0.76,0.78,0.78,0.82,0.86,0.72,0.6399999999999999,0.62,0.6599999999999999,0.68,0.76,0.76,0.9400000000000001,0.8200000000000001,0.74,0.8,0.7,0.82,0.74,0.6399999999999999,0.62,0.66,0.6599999999999999,0.6799999999999999,0.6599999999999999,0.66,0.78,0.86,0.58,0.64,0.7,0.6799999999999999,0.72,0.82,0.8,0.9400000000000001,0.9399999999999998,0.58,0.5599999999999999,0.54,0.74,0.76,0.8,0.82,0.74,0.8800000000000001,0.9399999999999998,0.72,0.78,0.76,0.82,0.9800000000000001,0.82,0.82,0.82,0.9199999999999999,0.74,0.78,0.8,0.8800000000000001,0.9199999999999999
11,403,0.96,0.9,0.8200000000000001,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9,0.9200000000000002,0.8800000000000001,0.9199999999999999,0.8799999999999999,0.9199999999999999,0.9400000000000001,0.96,0.96,0.9399999999999998,0.9400000000000001,0.96,0.9199999999999999,0.9400000000000001,0.96,0.9400000000000001,0.96,0.96,0.9400000000000001,0.9199999999999999,0.9399999999999998,0.9400000000000001,0.96,0.9199999999999999,0.9800000000000001,0.9400000000000001,0.9199999999999999,0.8800000000000001,0.9199999999999999,0.9399999999999998,0.8800000000000001,0.9,0.9400000000000001,0.8799999999999999,0.8600000000000001,0.9,0.9199999999999999,0.9199999999999999,0.96,0.96,0.9400000000000001,0.9400000000000001,0.9199999999999999,0.9,0.9800000000000001,0.96,0.96,0.9199999999999999,0.9399999999999998,0.9199999999999999,0.9800000000000001,1.0,0.9,0.8800000000000001,0.9,0.9,1.0,0.96,0.9199999999999999,0.96,0.96,0.9800000000000001,0.9,0.9399999999999998,0.9199999999999999,0.9199999999999999,0.96,0.8800000000000001,0.96,1.0,1.0,0.96,0.96,1.0,0.9,0.9800000000000001,0.9800000000000001,0.96,0.9800000000000001,0.9800000000000001,1.0,1.0,1.0,0.96,0.8799999999999999,1.0,0.9800000000000001,0.9400000000000001,0.9400000000000001,0.9199999999999999,0.9400000000000001,1.0
12,418,0.9,0.74,0.76,0.72,0.96,0.9800000000000001,0.9800000000000001,0.7,0.9400000000000001,0.8800000000000001,0.9199999999999999,0.9400000000000001,0.82,0.9,0.9400000000000001,0.9400000000000001,0.8400000000000001,0.9,0.8800000000000001,0.9400000000000001,0.8,0.8399999999999999,0.82,0.7,0.8400000000000001,0.74,0.7,0.8399999999999999,0.8399999999999999,0.8,0.9,0.74,0.8800000000000001,0.7,0.8800000000000001,0.9199999999999999,0.96,0.9200000000000002,0.8200000000000001,0.8800000000000001,0.9,0.8400000000000001,0.8800000000000001,0.96,0.9800000000000001,0.78,0.74,0.9199999999999999,0.78,0.9800000000000001,0.96,0.9,0.9400000000000001,0.9400000000000001,0.9399999999999998,0.8800000000000001,0.96,0.96,0.9,0.9200000000000002,1.0,0.8400000000000001,0.96,0.96,0.86,0.9800000000000001,0.96,0.9,0.86,0.86,0.96,0.9800000000000001,0.9400000000000001,0.9199999999999999,0.9800000000000001,0.9800000000000001,0.9400000000000001,0.9,0.8800000000000001,0.9400000000000001,0.96,1.0,0.86,1.0,1.0,0.9399999999999998,0.62,0.6599999999999999,0.76,0.66,0.72,0.8,0.9,0.82,0.8400000000000001,0.9,0.8800000000000001,0.78,0.74,0.9
13,428,0.9800000000000001,0.9800000000000001,0.96,0.9400000000000001,1.0,1.0,0.9800000000000001,1.0,1.0,0.9800000000000001,0.9800000000000001,1.0,1.0,0.96,0.9400000000000001,0.96,0.96,0.9800000000000001,0.96,1.0,0.9800000000000001,0.96,0.9800000000000001,0.9800000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9800000000000001,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.0,0.9800000000000001,0.9800000000000001,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.0,0.9800000000000001,0.8800000000000001,0.9800000000000001,0.9400000000000001,1.0,1.0,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.96,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.96,0.9200000000000002,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9800000000000001,0.96,0.9800000000000001,0.9400000000000001,0.9800000000000001,1.0,0.8800000000000001,0.9800000000000001,1.0,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.9800000000000001,1.0,1.0,0.9800000000000001
14,465,0.78,0.86,0.8,0.9800000000000001,0.76,0.52,0.72,0.8400000000000001,0.8800000000000001,0.8600000000000001,0.96,0.9800000000000001,0.7799999999999999,0.82,0.62,0.5800000000000001,0.78,0.8,0.82,0.86,0.9199999999999999,0.9199999999999999,0.8,0.68,0.9400000000000001,1.0,0.8399999999999999,0.76,0.8400000000000001,0.86,0.8,0.8,0.9400000000000001,0.8600000000000001,0.8800000000000001,0.7200000000000001,0.72,0.66,0.6599999999999999,0.78,0.7,0.78,0.76,0.7999999999999999,0.74,0.86,0.8800000000000001,0.9,0.8,0.8,0.76,0.8,0.8600000000000001,0.76,0.74,0.8,0.8400000000000001,0.76,0.76,0.6,0.78,0.8,0.8400000000000001,0.82,0.86,0.86,0.8600000000000001,0.74,0.76,0.74,0.6799999999999999,0.8,0.9199999999999999,0.86,0.8,0.8800000000000001,0.74,0.8,0.74,0.7,0.6599999999999999,0.86,0.9,0.8399999999999999,0.9199999999999999,0.9,0.78,0.6400000000000001,0.7799999999999999,0.8,0.8800000000000001,0.8800000000000001,0.8,0.82,0.7,0.8,0.9199999999999999,0.8400000000000001,0.8400000000000001,0.6599999999999999
15,476,0.42000000000000004,0.58,0.44000000000000006,0.6555555555556,0.5955555555556,0.76,0.8,0.8,0.72,0.74,0.9199999999999999,0.76,0.74,0.72,0.74,0.6399999999999999,0.7000000000000001,0.74,0.76,0.78,0.6599999999999999,0.74,0.8400000000000001,1.0,0.8,0.82,0.82,0.82,0.62,0.66,0.6000000000000001,0.64,0.68,0.62,0.8,0.6599999999999999,0.5800000000000001,0.64,0.72,0.72,0.72,0.58,0.62,0.64,0.6599999999999999,0.6199999999999999,0.68,0.86,0.8800000000000001,0.6799999999999999,0.74,0.74,0.7999999999999999,0.7,0.74,0.74,0.7,0.86,0.8,0.8800000000000001,0.9199999999999999,0.82,0.82,0.8400000000000001,0.8400000000000001,0.9800000000000001,0.9,0.9400000000000001,0.9199999999999999,0.9199999999999999,0.9800000000000001,0.9800000000000001,0.9400000000000001,0.7899999999999999,0.82,0.8,0.8,0.6200000000000001,0.7,0.64,0.6200000000000001,0.5799999999999998,0.7,0.66,0.5399999999999999,0.76,0.4800000000000001,0.76,0.76,0.6,0.7,0.64,0.78,0.78,0.64,0.8099999999999999,0.4600000000000001,0.53,0.5,0.56
16,528,0.96,0.9199999999999999,0.9199999999999999,0.9200000000000002,0.9400000000000001,0.9200000000000002,0.96,0.9800000000000001,0.8200000000000001,0.9400000000000001,0.8800000000000001,0.82,0.9400000000000001,0.9800000000000001,0.9800000000000001,0.9400000000000001,0.96,0.9400000000000001,0.8800000000000001,0.96,0.78,0.8800000000000001,0.9800000000000001,0.8399999999999999,0.96,0.96,1.0,0.9800000000000001,0.9800000000000001,0.9400000000000001,0.9200000000000002,0.74,0.9400000000000001,0.9400000000000001,0.9199999999999999,0.9200000000000002,0.9200000000000002,1.0,0.9200000000000002,1.0,0.9800000000000001,0.9400000000000001,0.9400000000000001,0.96,0.96,0.78,0.8400000000000001,0.9400000000000001,0.96,0.96,0.86,0.9400000000000001,0.9399999999999998,1.0,0.96,0.96,0.96,1.0,0.8800000000000001,0.8800000000000001,0.9199999999999999,0.9199999999999999,0.9200000000000002,0.9200000000000002,0.9200000000000002,1.0,0.96,0.9800000000000001,1.0,1.0,0.96,0.96,0.96,0.96,0.9200000000000002,0.96,0.9199999999999999,0.9199999999999999,0.96,0.9199999999999999,0.9,0.86,0.9,0.8800000000000001,0.96,0.8800000000000001,0.9400000000000001,0.96,0.9800000000000001,0.96,0.8400000000000001,0.9,0.9,0.9400000000000001,0.9400000000000001,0.9800000000000001,0.86,0.86,0.9800000000000001,0.9800000000000001
17,529,0.96,0.96,1.0,0.9800000000000001,0.96,1.0,0.9,1.0,0.96,0.96,0.96,1.0,0.8800000000000001,0.96,0.9800000000000001,0.8800000000000001,0.86,0.96,0.9,0.9,0.9200000000000002,1.0,0.9800000000000001,0.9200000000000002,1.0,0.96,0.96,1.0,1.0,0.9800000000000001,1.0,1.0,0.8400000000000001,0.96,1.0,0.9800000000000001,0.9800000000000001,0.9800000000000001,0.86,1.0,0.9400000000000001,1.0,0.96,0.9800000000000001,0.9199999999999999,0.9,0.9400000000000001,0.96,0.9199999999999999,0.9800000000000001,0.96,0.9400000000000001,0.9800000000000001,0.9399999999999998,0.96,0.9400000000000001,0.96,0.96,0.96,0.96,0.96,0.9,0.9400000000000001,0.9199999999999999,0.9800000000000001,0.9400000000000001,0.9400000000000001,0.96,0.9400000000000001,0.96,0.9400000000000001,0.9199999999999999,1.0,1.0,0.9800000000000001,0.9400000000000001,0.96,1.0,0.96,1.0,0.9800000000000001,0.9800000000000001,0.9199999999999999,0.96,0.9800000000000001,0.9400000000000001,0.96,0.8800000000000001,0.96,0.9400000000000001,0.9800000000000001,0.9400000000000001,0.9400000000000001,0.8800000000000001,0.9800000000000001,1.0,0.9400000000000001,0.9399999999999998,0.9,0.9
18,537,0.78,0.76,0.9200000000000002,0.9400000000000001,0.96,0.9800000000000001,0.78,1.0,0.78,0.86,0.66,0.78,0.96,0.9399999999999998,0.96,0.96,0.9800000000000001,0.62,0.8,0.9399999999999998,1.0,0.96,0.78,0.78,0.72,0.9199999999999999,0.82,0.8400000000000001,0.9800000000000001,0.9800000000000001,0.8,0.78,1.0,1.0,0.9,0.8400000000000001,0.8800000000000001,0.8800000000000001,0.9400000000000001,0.9400000000000001,0.82,0.6,0.7999999999999999,0.7,0.9199999999999999,0.96,0.76,0.8,0.82,1.0,0.96,0.9800000000000001,0.9199999999999999,0.9,0.9800000000000001,0.8400000000000001,0.86,0.6,0.7000000000000001,0.8400000000000001,0.9199999999999999,0.9199999999999999,0.76,0.8800000000000001,0.9399999999999998,0.9400000000000001,0.9400000000000001,0.9200000000000002,0.9,0.9,0.8399999999999999,0.72,0.7,0.96,0.9400000000000001,0.8800000000000001,0.86,0.8800000000000001,0.6799999999999999,0.86,0.8399999999999999,0.8400000000000001,0.6799999999999999,0.6599999999999999,0.6799999999999999,0.82,0.78,0.9,0.8399999999999999,0.86,0.72,0.9,0.9400000000000001,0.9199999999999999,0.72,0.7999999999999999,0.82,0.82,0.9800000000000001,0.6200000000000001
19,538,0.96,0.96,0.9400000000000001,0.9199999999999999,0.96,0.96,0.96,0.96,0.96,1.0,0.96,0.96,0.9800000000000001,0.9400000000000001,1.0,0.9400000000000001,0.9400000000000001,0.96,0.9400000000000001,0.96,0.9400000000000001,0.9,0.9199999999999999,0.9,0.9,0.9399999999999998,0.9800000000000001,0.96,0.96,0.96,0.9,0.9199999999999999,0.86,0.8400000000000001,0.8800000000000001,0.9800000000000001,0.9400000000000001,0.9800000000000001,0.9400000000000001,0.9800000000000001,0.9800000000000001,0.9400000000000001,0.9800000000000001,0.9400000000000001,0.96,0.9199999999999999,0.9,0.9200000000000002,0.9400000000000001,0.9,0.9200000000000002,0.9400000000000001,1.0,0.96,0.9,0.96,0.9399999999999998,0.96,0.9,0.9400000000000001,0.8799999999999999,0.9,0.9200000000000002,0.9,0.9400000000000001,0.8600000000000001,0.9400000000000001,0.9400000000000001,0.96,0.96,0.9800000000000001,0.9400000000000001,0.96,0.8399999999999999,0.96,1.0,0.9800000000000001,0.96,0.9800000000000001,0.86,0.9199999999999999,0.8600000000000001,0.9199999999999999,0.9399999999999998,0.9199999999999999,0.96,0.9200000000000002,0.9,0.9,0.9399999999999998,0.8800000000000001,0.9400000000000001,0.96,0.8799999999999999,0.9,0.9800000000000001,0.96,0.9199999999999999,0.9200000000000002,0.8200000000000001
